latitude,longitude,16-06,22-06,29-06,06-07,13-07,20-07
-9.47132032,-40.79627932,0,0,0,0,0,0
-22.11824387142857,-45.134701035714286,1,0,0,1,0,1
-14.42774364,-44.375471520000005,0,0,0,1,0,0
-20.449788469999998,-54.57781229,9,8,10,13,7,11
-20.449675147058823,-54.575890300000005,8,8,8,12,8,10
-3.1263555222222226,-60.01969611111112,13,15,1,10,9,6
-19.932808844444445,-43.98774237777778,13,13,14,4,10,14
-20.377545233333333,-54.571166016666666,3,0,0,1,1,0
-20.38657346,-54.577574600000005,3,0,0,1,1,1
-20.4107672,-54.57263365555556,15,15,15,9,15,11
-20.42491304,-54.56925606,3,3,2,1,4,9
-22.915913466666666,-43.08699841666667,15,0,7,8,11,8
-23.1012431137931,-48.92903003448277,4,15,8,15,15,15
-23.988247970588233,-48.877257917647064,3,2,1,2,4,1
-23.98808369,-48.87643339,10,9,9,6,12,5
-30.34755765555555,-53.8807815,15,15,15,14,15,15
-21.81154361,-49.595692469999996,1,1,1,0,1,1
-8.596328699999999,-38.573063520000005,5,3,0,0,2,0
-8.598725139999999,-38.57088664,5,3,0,0,2,0
-8.902788099999999,-37.82391384,0,0,0,0,0,0
-20.828276065789474,-49.39754213421053,7,5,1,3,5,4
-19.800740475,-44.007850399999995,15,9,10,15,5,13
-22.120515029411763,-45.047532164705885,13,0,1,3,15,13
-15.82289046,-48.06758584000001,15,15,13,15,14,9
-15.82380704,-48.06712248,15,15,13,15,12,9
-13.644551759999999,-41.84173528,2,3,2,0,0,0
-15.735796279999999,-47.89692062,8,12,8,9,13,12
-13.00871367142857,-38.50882652857143,15,12,15,15,3,15
-22.24577893571428,-43.69773479285713,4,2,3,5,3,6
-17.68823562,-40.11435548,0,0,0,0,1,1
-13.008269100000001,-38.49455056,15,14,15,15,13,13
-22.25549354,-53.36085058,0,0,0,0,0,0
-29.438392785714285,-51.511953142857145,1,1,1,1,0,1
-3.5385279782608703,-40.45689669130435,1,1,0,1,1,1
-22.84679376,-43.30571132,6,0,3,4,9,4
-29.505740909090914,-51.96641603636363,13,11,7,9,13,15
-23.5719506,-46.59027786,13,15,13,15,15,12
-21.69572937142857,-45.256406861904765,15,11,10,12,15,13
-26.73344060714285,-53.50289572142857,0,0,0,0,2,2
